rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,timestamp
8,177. 북가좌 초등학교,12,150,37.57763672,126.90965271,ST-345,2024-05-09 23:45:26
10,178. 증산3교 앞,17,170,37.57987595,126.90634918,ST-349,2024-05-09 23:45:26
14,179. 가좌역 4번출구 앞,0,0,37.56877518,126.91529846,ST-232,2024-05-09 23:45:26
10,180. 충정로역 7번출구 아래,2,20,37.55996704,126.96246338,ST-233,2024-05-09 23:45:26
15,181. 망원초록길 입구,18,120,37.55134201,126.90267181,ST-339,2024-05-09 23:45:26
9,182. 망원2빗물펌프장 앞,26,289,37.55136490,126.90306091,ST-340,2024-05-09 23:45:26
15,183. 하늘채코오롱아파트 건너편,20,133,37.56538773,126.91932678,ST-341,2024-05-09 23:45:26
8,184. 7번가피자 서교망원점,10,125,37.55894852,126.90775299,ST-342,2024-05-09 23:45:26
15,185. 마포 신수공원 앞,19,127,37.54254532,126.93429565,ST-343,2024-05-09 23:45:26
40,186. 월드컵공원,39,98,37.56396484,126.89820862,ST-344,2024-05-09 23:45:26
9,188. 홍은동 정원여중 입구,8,89,37.58638763,126.93512726,ST-346,2024-05-09 23:45:26
10,191. 서우빌딩,31,310,37.57889175,126.91073608,ST-347,2024-05-09 23:45:26
10,192. 연서어린이공원,8,80,37.57222748,126.92306519,ST-348,2024-05-09 23:45:26
10,194. 증산교 앞,5,50,37.57731628,126.90296936,ST-350,2024-05-09 23:45:26
10,195. 모래내고가차도 ,4,40,37.56765747,126.91780853,ST-351,2024-05-09 23:45:26
10,196. 연희교차로 인근,1,10,37.56612015,126.92589569,ST-352,2024-05-09 23:45:26
15,198. 충정2교,0,0,37.56213760,126.96377563,ST-354,2024-05-09 23:45:26
30,199. 서울 월드컵 경기장,19,63,37.56684494,126.89644623,ST-443,2024-05-09 23:45:26
22,200. 국회의원회관,0,0,37.52841568,126.91391754,ST-45,2024-05-09 23:45:26
15,201. 진미파라곤 앞,2,13,37.53123856,126.92133331,ST-46,2024-05-09 23:45:26
30,202. 국민일보 앞,3,10,37.52881622,126.92453003,ST-47,2024-05-09 23:45:26
15,203. 국회의사당역 3번출구 옆,2,13,37.52805710,126.91870117,ST-51,2024-05-09 23:45:26
13,204. 국회의사당역 5번출구 옆,0,0,37.52816391,126.91702271,ST-50,2024-05-09 23:45:26
20,205. 산업은행 앞,0,0,37.52626419,126.92050934,ST-52,2024-05-09 23:45:26
35,206. KBS 앞,0,0,37.52466583,126.91802216,ST-53,2024-05-09 23:45:26
46,207. 여의나루역 1번출구 앞,3,7,37.52715683,126.93190002,ST-73,2024-05-09 23:45:26
12,209. 유진투자증권빌딩 앞,0,0,37.52461243,126.92783356,ST-55,2024-05-09 23:45:26
19,213. KT앞,0,0,37.52190781,126.91895294,ST-59,2024-05-09 23:45:26
21,214. 금융감독원 앞,0,0,37.52302170,126.92083740,ST-60,2024-05-09 23:45:26
10,215. 여의도고교 앞,0,0,37.52483749,126.93490601,ST-64,2024-05-09 23:45:26
15,217. NH농협은행 앞,0,0,37.52207947,126.93036652,ST-66,2024-05-09 23:45:26
12,219. 롯데캐슬엠파이어 옆,0,0,37.52069473,126.92583466,ST-62,2024-05-09 23:45:26
30,220. 미성아파트 A동 앞,0,0,37.51936340,126.92604828,ST-63,2024-05-09 23:45:26
10,221. 여의도초교 앞,1,10,37.52267456,126.93778992,ST-67,2024-05-09 23:45:26
12,222. 시범아파트버스정류장 옆,7,58,37.51902008,126.93688965,ST-68,2024-05-09 23:45:26
20,223. 진주아파트상가 앞,2,10,37.51913071,126.93337250,ST-69,2024-05-09 23:45:26
20,224. 롯데캐슬 앞,2,10,37.52008820,126.93236542,ST-70,2024-05-09 23:45:26
26,225. 앙카라공원 앞,12,46,37.51758575,126.92961884,ST-71,2024-05-09 23:45:26
19,226. 샛강역 1번출구 앞,2,11,37.51776505,126.92841339,ST-72,2024-05-09 23:45:26
20,227. 양평2나들목 보행통로 입구,20,100,37.54466629,126.88835907,ST-277,2024-05-09 23:45:26
10,228. 선유도역 3번출구 앞,17,170,37.53845978,126.89450836,ST-278,2024-05-09 23:45:26
25,229. 양평1 보행육교 앞,4,16,37.53587341,126.89218140,ST-279,2024-05-09 23:45:26
13,230. 영등포구청역 1번출구,3,23,37.52463531,126.89621735,ST-413,2024-05-09 23:45:26
10,231. 남부고용노동지청 남측,0,0,37.52450562,126.89182281,ST-280,2024-05-09 23:45:26
20,232. 양평우림 이비즈센타 앞,29,145,37.52565002,126.88781738,ST-281,2024-05-09 23:45:26
10,233. 양평1동 YP센터 앞,0,0,37.52848816,126.89164734,ST-282,2024-05-09 23:45:26
10,235. 신길동 우리은행 옆,12,120,37.50456619,126.91023254,ST-284,2024-05-09 23:45:26
10,236. 문래동자이아파트 앞,4,40,37.51615524,126.89461517,ST-285,2024-05-09 23:45:26
20,237. 보라매 두산위브 건너편,28,140,37.49651337,126.91480255,ST-286,2024-05-09 23:45:26
10,238. 제2구민체육센타 앞,3,30,37.52638626,126.90275574,ST-287,2024-05-09 23:45:26
19,239. 유스호스텔 앞,4,21,37.52585220,126.90328217,ST-288,2024-05-09 23:45:26
10,240. 문래역 4번출구 앞,0,0,37.51873779,126.89557648,ST-289,2024-05-09 23:45:26
10,241. 신길우성1차아파트 앞 공원,13,130,37.50501633,126.89853668,ST-290,2024-05-09 23:45:26
15,242. 신길선원가와인아파트 앞,6,40,37.51093292,126.91022491,ST-291,2024-05-09 23:45:26
15,243. 이앤씨드림타워 앞,2,13,37.52708435,126.89138031,ST-292,2024-05-09 23:45:26
20,244. 영등포삼환아파트 앞,38,190,37.53007889,126.90570831,ST-293,2024-05-09 23:45:26
14,245. 삼성생명 당산사옥 앞,5,36,37.52826309,126.89662933,ST-294,2024-05-09 23:45:26
14,247. 당산역 10번출구 앞,0,0,37.53342056,126.90223694,ST-295,2024-05-09 23:45:26
10,248. 초원아파트 앞,1,10,37.53105545,126.92420959,ST-296,2024-05-09 23:45:26
16,249. 여의도중학교 옆,4,25,37.52434921,126.93611908,ST-297,2024-05-09 23:45:26
10,250. 대림아파트 사거리,13,130,37.50764084,126.92308044,ST-298,2024-05-09 23:45:26
10,251. 서울지방병무청 버스정류장,7,70,37.50449371,126.92195129,ST-299,2024-05-09 23:45:26
10,252. 보라매역4번출구,16,160,37.49982834,126.91994476,ST-300,2024-05-09 23:45:26
10,254. 도림신협 앞,19,190,37.50380325,126.90341949,ST-302,2024-05-09 23:45:26
15,255. 도림사거리,26,173,37.50657272,126.90113068,ST-303,2024-05-09 23:45:26
10,256. 동아에코빌입구,21,210,37.50947571,126.89929962,ST-304,2024-05-09 23:45:26
14,258. 신길역3번출구,15,107,37.51769257,126.91429901,ST-306,2024-05-09 23:45:26
17,259. 대방역6번출구,95,559,37.51359177,126.92593384,ST-307,2024-05-09 23:45:26
15,260. 여의도 마리나선착장 앞,0,0,37.53365707,126.91216278,ST-414,2024-05-09 23:45:26
12,262. 영문초등학교 사거리,9,75,37.51992798,126.88918304,ST-416,2024-05-09 23:45:26
12,263. 근로자회관 사거리,37,308,37.51715088,126.88862610,ST-417,2024-05-09 23:45:26
15,264. 교보생명보험 앞,7,47,37.52193069,126.89161682,ST-418,2024-05-09 23:45:26
11,265. 영등포유통상가 사거리,3,27,37.52113342,126.89653778,ST-419,2024-05-09 23:45:26
10,266. 영등포청과시장 사거리,5,50,37.52029419,126.90119171,ST-420,2024-05-09 23:45:26
10,267. 삼성화재 사옥 옆,0,0,37.53596115,126.89830017,ST-421,2024-05-09 23:45:26
6,268. 그랜드컨벤션센터 앞,0,0,37.53471756,126.90000153,ST-422,2024-05-09 23:45:26
10,270. 증권거래소후문교차로,1,10,37.52234268,126.92710114,ST-424,2024-05-09 23:45:26
10,271. 샛강생태공원방문자센터 앞,0,0,37.51896286,126.92161560,ST-425,2024-05-09 23:45:26
20,272. 당산육갑문,29,145,37.53533936,126.90367889,ST-426,2024-05-09 23:45:26
10,275. 신동아아파트,11,110,37.52269745,126.88568115,ST-1320,2024-05-09 23:45:26
10,276. 영등포로터리2,22,220,37.51828384,126.91263580,ST-1321,2024-05-09 23:45:26
10,278. 쌍용플레티넘오피스텔,19,190,37.50793076,126.89523315,ST-1323,2024-05-09 23:45:26
